Pays,Production_MT,Importation_MT,Disponibilite_interieure_MT,Nourriture_MT,distance_France,PIB_US_$_M,Political_stability,pop_2012,pop_2017,Ease_of_doing_business_score,Score_Starting _a_business,Dispo_alim(Kcal/personne/jour)_Total_General,Dispo_proteines_quantite(g/personne/jour)_Total_General,Dispo_alim_quantite(kg/personne/an)_Viande_Volailles,Disp_alim(Kcal/personne/jour)_Viande_Volailles,Dispo_proteines_quantite(g/personne/jour)_Viande_Volailles,Importation_nb_tete,Importation-tonnes,Importation_$USD,January,February,March,April,May,June,July,August,September,October,November,December,Apport_moyen_proteine(g/capita/day),Apport_moyen_proteine_animal(g/capita/day),pop_evol_12-17,part_protein_Volaille/total,volaille_import/nb_hab,volaille_prod/hab,volaille_nourriture/hab
53,Hungary,493,58,266,246,1247.24,143136.2456,0.81,9864358,9729823,71.388962103723,87.278674834211,3290,88.49,25.29,104,9.81,25073,44157,54418000,1.166756,1.706474,1.916511,1.696055,2.503379,3.138212,3.360762,3.056301,2.984869,3.15066,3.412948,3.412948,88,49.7,-1.3638495277645,11.09,0.00000596105396778544,0.0000506689587261762,0.0000252830909668141
54,India,3545,0,3661,2965,6594.23,2624329.038,-0.76,1265780247,1338676785,55.959444219961,72.187909438175,2549,64.65,2.95,10,0.99,96,0,2587000,1.370906,2.386451,2.542373,1.289833,-0.223881,-1.169591,0.433526,1.957941,1.756955,2.262774,4.408523,4.850746,62.3,14,5.75902003311954,1.53,0,0.00000264813735452953,0.00000221487369708888
55,Indonesia,2301,1,2323,1904,11584.25,1015618.744,-0.5,248451722,264650963,64.660105609576,74.588024793475,2991,70.33,7.74,27,2.59,52155,3129,20940000,4.105054,4.388042,2.991108,2.796943,3.373031,2.431213,1.504463,1.507465,1.044386,0.799477,-0.486131,1.25907,66.7,20.7,6.52007596067295,3.68,0.00000000377856172773496,0.00000869447053551814,0.00000719438152960736
56,Iraq,96,470,566,561,3867.434,187217.652,-2.31,31890011,37552781,44.063696513588,70.860464206014,2588,65.62,14.7,51,5.32,991,480,2092000,-4.06746,-3.27381,-0.601202,0.595238,-1.315789,-2.774923,-2.37849,-2.746694,-3.118712,-3.703704,-1.715439,0.411946,64,14.7,17.7571904882692,8.11,0.0000125157175443278,0.00000255640188139462,0.0000149389734943998
57,Ireland,110,99,128,123,778.2031,335430.8301,1,4608198,4753279,79.863242285921,94.398263190902,3835,115.46,23.95,99,11.38,5812,1191,6194000,-2.429548,-2.641885,-2.634153,-2.739729,-2.152648,-2.742402,-1.968497,-1.671588,-1.976278,-1.19047,-1.195213,-1.500003,114.4,68.4,3.14832392184537,9.86,0.0000208277275539685,0.0000231419195044095,0.0000258768736276579
58,Israel,629,0,636,556,3281.899,355277.448,-0.89,7614952,8243848,75.378473889389,92.533460259358,3565,125.58,67.29,233,27.82,1073,0,8221000,-1.629335,0,1.243526,2.079004,0.821354,0.312183,-1.029867,-0.718688,0.308968,-0.102037,0,-0.935556,125,73.3,8.25869946389682,22.15,0,0.0000762993204144472,0.000067444232353629
59,Italy,1315,97,1173,1146,1109.901,1961796.197,0.31,59879471,60673701,71.82262902735,86.715354078217,3477,104.64,18.86,65,7.82,11625,1089,14882000,2.297702,3.8,2.805611,2.2,1.89243,0.995025,0.901804,0.799201,1.4,2.097902,1.888668,1.48368,104.3,54.3,1.32638112317325,7.47,0.00000159871572693415,0.0000216733111434887,0.0000188879198254282
60,Jamaica,128,31,152,149,7734.696,14808.98527,0.31,2842132,2920848,67.228872921841,95.609884570898,2757,73.06,51.09,178,15.71,579,29,693000,0.971463,2.207235,3.080715,3.65099,3.586889,4.503393,5.476923,5.763335,5.738706,5.528554,6.291591,6.686747,73,35.7,2.76961098217817,21.5,0.000010613356121236,0.00004382288979091,0.0000510125826472312
61,Japan,2215,1069,2415,2359,9725.629,4930837.369,1.11,128423571,127502725,78.276793142719,86.092566870243,2712,86.76,18.51,67,7.24,403,0,7082000,2.234472,0.942449,0.514618,1.133195,1.017582,0.749249,0.495091,0.817567,1.062071,-1.950128,-0.597549,1.960543,86,47.7,-0.717038151820276,8.34,0.00000838413453516386,0.0000173721777318877,0.0000185015653587012
62,Jordan,210,64,275,275,3371.398,41408.4507,-0.5,8089962,9785843,56.271972290492,83.122358041132,2739,69.78,25.81,90,9.29,75,82,6345000,-1.411195,0.736222,-0.186944,-0.771263,-0.310333,1.080216,-3.328622,-2.817087,-0.423036,0.314293,1.992792,0.414563,70,23.3,20.9627807893288,13.31,0.00000654005996213101,0.0000214595717507424,0.0000281018201497817
